指标名称,英文名称,参考值1,参考值2,单位
锌,Zn,5.0,15.0,ug/mL
铁,Fe,150.0,400.0,ug/mL
钙,Ca,44,84,mg/mL
镁,Mg,16,50,ug/mL
铜,Cu,0.5,3.5,ug/mL
铅,Pb,0.0,100,ug/L
总胆红素,TBIL,7,23,umol/L
直接胆红素,DBIL,0,10.3,umol/L
间接胆红素,IBIL,0,15.2,umol/L
直接胆红素/总胆红素,D/T,,,
总蛋白,TP,60,85,g/L
白蛋白,ALB,60,85,g/L
球蛋白,GLOB,20,35,g/L
白蛋白/球蛋白比值,A/G,1.5,2.5,
谷丙转氨酶,ALT,0,46,IU/L
谷草转氨酶,AST,0,50,IU/L
谷草/谷丙,AST/ALT,,,
肌酸激酶,CK,39,308,U/L
肌酸激酶同工酶,CKMB,7,25,U/L
乳酸脱氢酶,LDH,240,480,IU/L
羟丁酸脱氢酶,HBDH,72,182,IU/L
胆固醇,CHOL,0,5.2,mmol/l
甘油三脂,TG,0.34,1.92,mmol/L
高密度脂蛋白胆固醇,HDL,0.9,2,mmol/L
低密度脂蛋白胆固醇,LDL,2.07,3.34,mmol/L
尿素,Bu,1.7,8.3,mmol/L
肌酐,Cr,44,106,umol/L
